Capacity (KB),Line Size (B),Associativity,Num Sets,Total,Cold,Capacity,Mapping,Replacement,References,
32(KB),8(B),8,512,13823,11289,304,383,1847,4800478,
32(KB),8(B),8,512,13800,11287,304,388,1821,4800469,
32(KB),8(B),8,512,13838,11289,304,383,1862,4800482,
32(KB),8(B),8,512,13796,11289,304,383,1820,4800490,
32(KB),8(B),8,512,13824,11289,304,381,1850,4800477,
32(KB),16(B),8,256,7920,6369,233,193,1125,4800468,
32(KB),16(B),8,256,7892,6368,233,192,1099,4800454,
32(KB),16(B),8,256,7916,6368,233,192,1123,4800449,
32(KB),16(B),8,256,7892,6369,233,188,1102,4800456,
32(KB),16(B),8,256,7896,6369,233,192,1102,4800452,
32(KB),32(B),8,128,4553,3577,186,104,686,4800462,
32(KB),32(B),8,128,4551,3577,186,108,680,4800456,
32(KB),32(B),8,128,4555,3577,184,89,705,4800445,
32(KB),32(B),8,128,4558,3577,184,94,703,4800461,
32(KB),32(B),8,128,4561,3577,186,102,696,4800449,
32(KB),64(B),8,64,2686,2022,146,66,452,4800438,
32(KB),64(B),8,64,2684,2022,146,69,447,4800445,
32(KB),64(B),8,64,2688,2022,146,66,454,4800464,
32(KB),64(B),8,64,2682,2023,146,50,463,4800456,
32(KB),64(B),8,64,2691,2022,146,68,455,4800448,
32(KB),128(B),8,32,1676,1171,124,72,309,4800444,
32(KB),128(B),8,32,1679,1172,124,74,309,4800453,
32(KB),128(B),8,32,1677,1172,124,76,305,4800443,
32(KB),128(B),8,32,1675,1172,124,72,307,4800450,
32(KB),128(B),8,32,1675,1171,124,76,304,4800455,
