Capacity (KB),Line Size (B),Associativity,Num Sets,Total,Cold,Capacity,Mapping,Replacement,References,
16(KB),64(B),8,32,53495,2022,1293,6951,43229,4800453,
16(KB),64(B),8,32,53124,2022,1292,6949,42861,4800453,
16(KB),64(B),8,32,53504,2022,1293,6954,43235,4800435,
16(KB),64(B),8,32,53109,2022,1292,6948,42847,4800430,
16(KB),64(B),8,32,53513,2022,1293,6954,43244,4800438,
32(KB),64(B),8,64,2685,2023,146,53,463,4800452,
32(KB),64(B),8,64,2682,2022,146,64,450,4800463,
32(KB),64(B),8,64,2683,2023,146,52,462,4800453,
32(KB),64(B),8,64,2692,2022,146,64,460,4800449,
32(KB),64(B),8,64,2684,2023,146,55,460,4800462,
64(KB),64(B),8,128,2169,2022,0,4,143,4800435,
64(KB),64(B),8,128,2180,2022,0,11,147,4800444,
64(KB),64(B),8,128,2173,2023,0,2,148,4800451,
64(KB),64(B),8,128,2170,2022,0,0,148,4800448,
64(KB),64(B),8,128,2169,2022,0,3,144,4800448,
128(KB),64(B),8,256,2027,2022,0,0,5,4800459,
128(KB),64(B),8,256,2031,2023,0,0,8,4800455,
128(KB),64(B),8,256,2033,2022,0,0,11,4800459,
128(KB),64(B),8,256,2029,2022,0,0,7,4800459,
128(KB),64(B),8,256,2031,2022,0,0,9,4800458,
256(KB),64(B),8,512,2023,2023,0,0,0,4800462,
256(KB),64(B),8,512,2023,2023,0,0,0,4800444,
256(KB),64(B),8,512,2022,2022,0,0,0,4800455,
256(KB),64(B),8,512,2022,2022,0,0,0,4800438,
256(KB),64(B),8,512,2023,2023,0,0,0,4800454,
